,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
0,2014 Hyundai Grand i10 MAGNA 1.2 VTVT MANUAL,"382,299",Non-Accidental,"38,708 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-M-x-xxxx,December 2014,
1,2017 Volkswagen Polo HIGHLINE1.2L PETROL MANUAL,"702,499",Non-Accidental,"8,118 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-04-M-x-xxxx,May 2017,"8,118km (14 Jan 2022)"
2,2017 Mahindra XUV500 W8 FWD MANUAL,"1,396,599",Non-Accidental,"45,362 km",MANUAL,Valid upto May 2022Comp,1st Owner,Diesel,KA-03-N-x-xxxx,April 2017,"45,362km (14 Jan 2022)"
3,2012 Skoda Rapid ELEGANCE 1.6 MPFI MT MANUAL,"486,499",Non-Accidental,"88,705 km",MANUAL,Valid upto Jul 2022Comp,2nd Owner,Petrol,KA-03-M-x-xxxx,June 2012,"88,705km (07 Jan 2022)"
4,2016 Renault Duster RXL PETROL 104 MANUAL,"727,399",Non-Accidental,"45,295 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-51-M-x-xxxx,March 2016,"45,295km (08 Dec 2021)"
5,2016 Maruti Baleno ZETA 1.2 K12  MANUAL,"705,399",Non-Accidental,"34,417 km",MANUAL,Valid upto May 2022Zero_Dep,1st Owner,Petrol,KA-51-M-x-xxxx,May 2016,"34,417km (19 Jan 2022)"
6,2016 Hyundai Elite i20 ASTA 1.4 CRDI MANUAL,"683,299",Non-Accidental,"43,221 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,KA-01-M-x-xxxx,February 2016,"43,221km (27 Nov 2021)"
7,2016 Maruti Ciaz ZXI PLUS MANUAL,"729,399",Non-Accidental,"45,970 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-M-x-xxxx,November 2016,"45,970km (14 Jan 2022)"
8,2017 Maruti Baleno DELTA 1.2 K12  MANUAL,"663,299",Non-Accidental,"24,480 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Petrol,KA-51-M-x-xxxx,May 2017,"24,480km (02 Dec 2021)"
9,2015 Hyundai Elite i20 ASTA 1.2 (O) MANUAL,"658,599",Non-Accidental,"53,045 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-M-x-xxxx,December 2015,"53,045km (13 Jan 2022)"
10,2018 Volkswagen Polo COMFORTLINE 1.0 PETROL MANUAL,"628,199",Non-Accidental,"30,201 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-05-M-x-xxxx,August 2018,"30,201km (09 Oct 2021)"
11,2019 Hyundai Creta 1.6 VTVT SX AUTO AUTOMATIC,"1,486,399",Non-Accidental,"12,493 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-01-M-x-xxxx,January 2019,"12,493km (13 Jan 2022)"
12,2017 Hyundai Elite i20 1.4 CRDI ASTA (O) MANUAL,"716,799",Non-Accidental,"100,703 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,KA-20-M-x-xxxx,March 2017,"100,703km (07 Jan 2022)"
13,2019 Renault TRIBER 1.0 RXT ,"648,199",Non-Accidental,"28,512 km",NA,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-50-Z-x-xxxx,August 2019,"28,512km (13 Jan 2022)"
14,2012 Honda Brio 1.2 S MT I VTEC MANUAL,"351,399",Non-Accidental,"47,893 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-02-M-x-xxxx,February 2012,"47,893km (06 Nov 2021)"
15,2012 Honda Brio 1.2 S MT I VTEC MANUAL,"356,199",Non-Accidental,"45,655 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-01-M-x-xxxx,August 2012,"45,655km (14 Jan 2022)"
16,2014 Honda Amaze 1.2 EXMT I VTEC MANUAL,"477,199",Non-Accidental,"58,249 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-04-M-x-xxxx,June 2014,"58,249km (18 Dec 2021)"
17,2017 Ford Figo Aspire 1.2 TITANIUM PETROL MANUAL,"600,599",Non-Accidental,"22,645 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-01-M-x-xxxx,February 2017,"22,645km (03 Jan 2022)"
18,2018 Maruti Dzire VXI MANUAL,"647,699",Non-Accidental,"27,281 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-40-N-x-xxxx,May 2018,"27,281km (03 Jan 2022)"
19,2015 Audi A3 35TDI AUTOMATIC,"2,045,799",Non-Accidental,"87,843 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Diesel,KA-51-M-x-xxxx,November 2015,"87,843km (21 Dec 2021)"
20,2017 Maruti IGNIS DELTA 1.2 K12  MANUAL,"567,499",Non-Accidental,"29,132 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-N-x-xxxx,March 2017,"29,132km (22 Dec 2021)"
21,2016 Honda Jazz 1.2 V MT  MANUAL,"628,999",Non-Accidental,"27,819 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-53-M-x-xxxx,January 2016,"27,819km (02 Nov 2021)"
22,2018 Maruti Vitara Brezza ZDI PLUS MANUAL,"963,799",Non-Accidental,"26,671 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,KA-03-N-x-xxxx,February 2018,"26,671km (13 Dec 2021)"
23,2015 Volkswagen Polo HIGHLINE1.2L PETROL MANUAL,"542,799",Non-Accidental,"73,563 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-51-M-x-xxxx,January 2015,"73,563km (06 Nov 2021)"
24,2014 Maruti Celerio VXI  MANUAL,"369,699",Non-Accidental,"167,450 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-01-M-x-xxxx,February 2014,"167,450km (19 Jan 2022)"
25,2018 Ford Ecosport 1.5 TITANIUM TI VCT MANUAL,"839,999",Non-Accidental,"20,398 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Petrol,KA-05-M-x-xxxx,May 2018,"20,398km (25 Oct 2021)"
26,2018 Ford Ecosport 1.5 TITANIUM TI VCT AT AUTOMATIC,"967,399",Non-Accidental,"35,691 km",AUTOMATIC,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-04-M-x-xxxx,January 2018,"35,691km (08 Nov 2021)"
27,2019 Hyundai VENUE 1.0L Turbo GDI SX MT MANUAL,"1,061,699",Non-Accidental,"5,678 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-04-M-x-xxxx,November 2019,"5,678km (17 Dec 2021)"
28,2015 Ford Ecosport 1.0 ECOBOOST TITANIUM OPT MANUAL,"625,499",Non-Accidental,"27,264 km",MANUAL,Valid upto Nov 2022Comp,2nd Owner,Petrol,KA-03-M-x-xxxx,January 2015,"27,264km (12 Jan 2022)"
29,2018 Maruti Swift ZDI AMT AUTOMATIC,"762,899",Non-Accidental,"50,630 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Diesel,KA-50-Z-x-xxxx,January 2018,"50,630km (17 Nov 2021)"
30,2018 Maruti Swift VXI MANUAL,"629,699",Non-Accidental,"37,434 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-41-M-x-xxxx,April 2018,"37,434km (18 Jan 2022)"
31,2014 Maruti Swift Dzire VXI AMT AUTOMATIC,"535,499",Non-Accidental,"33,716 km",AUTOMATIC,Valid upto Jul 2022Comp,2nd Owner,Petrol,KA-01-M-x-xxxx,May 2014,"33,716km (28 Oct 2021)"
32,2016 Honda Brio 1.2 S MT I VTEC MANUAL,"475,199",Non-Accidental,"26,015 km",MANUAL,Valid upto Oct 2022Comp,1st Owner,Petrol,KA-05-M-x-xxxx,January 2016,"26,015km (12 Jan 2022)"
33,2014 Maruti Swift Dzire VXI 1.2 BS IV MANUAL,"530,299",Non-Accidental,"49,515 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-05-M-x-xxxx,August 2014,"49,515km (30 Oct 2021)"
34,2019 Hyundai NEW SANTRO 1.1 MAGNA MT ,"567,699",Non-Accidental,"10,782 km",NA,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-51-M-x-xxxx,March 2019,"10,782km (17 Jan 2022)"
35,2019 Hyundai NEW SANTRO 1.1 SPORTS AMT MANUAL,"565,299",Non-Accidental,"29,798 km",MANUAL,Valid upto May 2022Zero_Dep,1st Owner,Petrol,KA-18-Z-x-xxxx,January 2019,"29,798km (07 Jan 2022)"
36,2019 Maruti S PRESSO VXI PLUS MANUAL,"500,399",Non-Accidental,"18,395 km",MANUAL,Valid upto Oct 2022Zero_Dep,1st Owner,Petrol,KA-04-M-x-xxxx,October 2019,"18,395km (07 Dec 2021)"
37,2011 Hyundai Santro Xing GL PLUS MANUAL,"298,899",Non-Accidental,"102,743 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-01-M-x-xxxx,July 2011,"102,743km (13 Dec 2021)"
38,2011 Hyundai Santro Xing GL PLUS MANUAL,"305,799",Non-Accidental,"70,009 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-03-M-x-xxxx,June 2011,"70,009km (17 Nov 2021)"
39,2018 Tata Tiago XZ 1.2 REVOTRON MANUAL,"550,899",Non-Accidental,"30,545 km",MANUAL,Valid upto Aug 2022Comp,1st Owner,Petrol,KA-05-M-x-xxxx,May 2018,"30,545km (27 Oct 2021)"
40,2013 Hyundai i20 SPORTZ 1.4 AT VTVT MANUAL,"561,799",Non-Accidental,"50,903 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-01-M-x-xxxx,February 2013,"50,903km (07 Jan 2022)"
41,2014 Maruti Swift VXI MANUAL,"488,999",Non-Accidental,"51,290 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-04-M-x-xxxx,February 2014,"51,290km (28 Oct 2021)"
