,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
0,2017 Maruti Swift VXI OPT MANUAL,"510,299",Non-Accidental,"29,996 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,TS-07-F-x-xxxx,April 2017,
1,2016 Hyundai i20 Active 1.4 SX MANUAL,"660,699",Non-Accidental,"57,997 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,TS-09-E-x-xxxx,September 2016,
2,2018 Datsun Redi Go T (O) MANUAL,"317,799",Non-Accidental,"28,385 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-08-F-x-xxxx,January 2018,"28,385km (05 Jan 2022)"
3,2015 Maruti Celerio VXI  MANUAL,"362,299",Non-Accidental,"102,472 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-07-E-x-xxxx,February 2015,"102,472km (28 Dec 2021)"
4,2015 Maruti Celerio VXI  MANUAL,"376,299",Non-Accidental,"81,840 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,TS-07-E-x-xxxx,February 2015,"81,840km (23 Dec 2021)"
5,2018 Maruti Vitara Brezza VDI AMT MANUAL,"820,699",Non-Accidental,"81,477 km",MANUAL,Valid upto May 2022Third Party,2nd Owner,Diesel,TS-08-G-x-xxxx,July 2018,"81,477km (18 Jan 2022)"
6,2018 Hyundai NEW SANTRO 1.1 SPORTS AMT MANUAL,"547,199",Non-Accidental,"25,002 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-08-G-x-xxxx,December 2018,"25,002km (29 Dec 2021)"
7,2011 Hyundai i10 MAGNA 1.2 KAPPA2 MANUAL,"314,999",Non-Accidental,"72,366 km",MANUAL,Valid upto Jan 20233rd Party,3rd Owner,Petrol,AP-24-A-x-xxxx,January 2011,"72,366km (20 Jan 2022)"
8,2017 Renault Kwid CLIMBER 1.0 AT ,"421,799",Non-Accidental,"36,933 km",NA,Valid upto Jan 20233rd Party,2nd Owner,Petrol,TS-04-E-x-xxxx,December 2017,"36,933km (14 Dec 2021)"
9,2017 Honda Jazz VX  1.2 MANUAL,"604,099",Non-Accidental,"75,366 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,TS-09-E-x-xxxx,January 2017,"75,366km (01 Dec 2021)"
10,2010 Hyundai i10 MAGNA 1.2 MANUAL,"322,099",Non-Accidental,"55,412 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,AP-28-C-x-xxxx,May 2010,"55,412km (16 Jan 2022)"
11,2011 Hyundai i10 MAGNA 1.2 KAPPA2 MANUAL,"331,799",Non-Accidental,"16,423 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,AP-12-L-x-xxxx,May 2011,"16,423km (25 Dec 2021)"
12,2013 Hyundai i10 MAGNA 1.2 KAPPA2 MANUAL,"398,599",Non-Accidental,"26,355 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,AP-09-C-x-xxxx,March 2013,"26,355km (20 Jan 2022)"
13,2018 Maruti Alto K10 VXI  MANUAL,"362,199",Non-Accidental,"32,851 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-07-G-x-xxxx,September 2018,"32,851km (09 Dec 2021)"
14,2015 Maruti Celerio VXI AMT AUTOMATIC,"404,199",Non-Accidental,"57,439 km",AUTOMATIC,Valid upto Jan 20233rd Party,2nd Owner,Petrol,TS-07-E-x-xxxx,May 2015,"57,439km (02 Dec 2021)"
15,2020 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT ,"1,248,999",Non-Accidental,"5,634 km",NA,Valid upto Nov 2023Third_party,1st Owner,Petrol,AP-39-G-x-xxxx,November 2020,"5,634km (10 Jan 2022)"
16,2016 Volkswagen Polo HIGHLINE1.2L PETROL MANUAL,"587,599",Non-Accidental,"58,810 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,AP-16-D-x-xxxx,June 2016,"58,810km (05 Jan 2022)"
17,2016 Hyundai Elite i20 SPORTZ 1.4 MANUAL,"695,499",Non-Accidental,"51,885 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,AP-37-C-x-xxxx,April 2016,"51,885km (14 Jan 2022)"
18,2015 Toyota Innova 2.5 VX 8 STR BS IV MANUAL,"944,999",Non-Accidental,"144,861 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,TS-08-E-x-xxxx,March 2015,"144,861km (24 Dec 2021)"
19,2017 Hyundai Elite i20 SPORTZ 1.2 MANUAL,"572,499",Non-Accidental,"97,198 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-08-F-x-xxxx,January 2017,"97,198km (24 Dec 2021)"
20,2019 Maruti Vitara Brezza VDI AMT AUTOMATIC,"918,199",Non-Accidental,"54,705 km",AUTOMATIC,Valid upto Nov 2022Comp,1st Owner,Diesel,TS-07-G-x-xxxx,May 2019,"54,705km (29 Dec 2021)"
21,2019 Maruti Dzire VDI MANUAL,"735,499",Non-Accidental,"21,577 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,AP-39-B-x-xxxx,April 2019,"21,577km (23 Nov 2021)"
22,2017 Maruti Celerio ZXI  MANUAL,"436,399",Non-Accidental,"51,010 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-03-E-x-xxxx,May 2017,"51,010km (16 Dec 2021)"
23,2019 Hyundai Grand i10 ASTA 1.2 VTVT MANUAL,"593,699",Non-Accidental,"32,836 km",MANUAL,Valid upto Jul 2022Third_party,1st Owner,Petrol,TS-07-G-x-xxxx,April 2019,"32,836km (29 Dec 2021)"
24,2015 Maruti Celerio VXI AMT AUTOMATIC,"395,999",Non-Accidental,"86,905 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-07-E-x-xxxx,October 2015,"86,905km (30 Dec 2021)"
