,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
0,2014 Volkswagen Polo COMFORTLINE 1.2L PETROL MANUAL,"343,799",Non-Accidental,"66,061 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,January 2014,"66,061km (29 Dec 2021)"
1,2013 Hyundai Verna FLUIDIC 1.6 SX VTVT MANUAL,"407,799",Non-Accidental,"67,788 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,January 2013,"67,788km (08 Nov 2021)"
2,2011 Hyundai i20 SPORTZ 1.2 O MANUAL,"271,199",Non-Accidental,"56,005 km",MANUAL,Valid upto May 2022Third_party,2nd Owner,Petrol,WB-06-G-x-xxxx,April 2011,"56,005km (29 Dec 2021)"
3,2017 Maruti Swift VXI OPT MANUAL,"434,599",Non-Accidental,"31,188 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-20-A-x-xxxx,August 2017,"31,188km (31 Dec 2021)"
4,2014 Maruti Swift VXI MANUAL,"393,099",Non-Accidental,"31,436 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,August 2014,"31,436km (27 Dec 2021)"
5,2014 Maruti Celerio ZXI  MANUAL,"298,299",Non-Accidental,"33,405 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-24-Y-x-xxxx,January 2014,"33,405km (30 Dec 2021)"
6,2013 Honda City V MT PETROL MANUAL,"429,099",Non-Accidental,"65,402 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,January 2013,"65,402km (23 Nov 2021)"
7,2015 Toyota Corolla Altis D 4D J MANUAL,"703,099",Non-Accidental,"82,442 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,WB-02-A-x-xxxx,December 2015,"82,442km (29 Nov 2021)"
8,2017 Maruti Ciaz DELTA 1.4 VVT MANUAL,"554,099",Non-Accidental,"41,264 km",MANUAL,Valid upto May 2022Zero_Dep,1st Owner,Petrol,WB-02-A-x-xxxx,August 2017,"41,264km (24 Dec 2021)"
9,2016 Renault Kwid RXT MANUAL,"322,499",Non-Accidental,"14,631 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-20-A-x-xxxx,January 2016,"14,631km (17 Jan 2022)"
10,2017 Hyundai i20 Active 1.4 SX MANUAL,"511,999",Non-Accidental,"88,303 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,WB-42-A-x-xxxx,June 2017,"88,303km (27 Dec 2021)"
11,2016 Hyundai Elite i20 SPORTZ 1.2 MANUAL,"508,699",Non-Accidental,"69,855 km",MANUAL,Valid upto May 2022Comp,1st Owner,Petrol,WB-02-A-x-xxxx,March 2016,"69,855km (31 Dec 2021)"
12,2013 Honda Amaze 1.2 SMT I VTEC MANUAL,"325,099",Non-Accidental,"81,316 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,January 2013,"81,316km (04 Jan 2022)"
13,2018 Maruti Ciaz ZETA 1.4 VVT  MANUAL,"685,299",Non-Accidental,"37,826 km",MANUAL,Valid upto Jan 2023Zero_Dep,1st Owner,Petrol,WB-16-A-x-xxxx,April 2018,"37,826km (23 Dec 2021)"
14,2015 Toyota Innova 2.5 VX 8 STR BS IV MANUAL,"935,399",Non-Accidental,"154,837 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,WB-02-A-x-xxxx,July 2015,"154,837km (11 Jan 2022)"
15,2014 Maruti Alto 800 LXI MANUAL,"262,399",Non-Accidental,"51,024 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-08-8-x-xxxx,January 2014,"51,024km (12 Jan 2022)"
