,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
0,2017 Maruti Ertiga VDI SHVS MANUAL,"657,999",Non-Accidental,"118,264 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,HR-36-A-x-xxxx,May 2017,"118,264km (19 Jan 2022)"
1,2013 Maruti Swift VDI MANUAL,"374,999",Non-Accidental,"49,032 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-4C-A-x-xxxx,January 2013,"49,032km (19 Jan 2022)"
2,2013 Maruti Swift VDI MANUAL,"372,199",Non-Accidental,"40,547 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-1C-N-x-xxxx,February 2013,"40,547km (19 Jan 2022)"
3,2014 Maruti Ertiga ZDI MANUAL,"559,199",Non-Accidental,"93,340 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,DL-2C-A-x-xxxx,August 2014,"93,340km (12 Jan 2022)"
4,2020 Mahindra XUV 3OO W4 PETROL MANUAL,"781,299",Non-Accidental,"6,573 km",MANUAL,Valid upto Aug 2023Third_party,1st Owner,Petrol,UP-71-A-x-xxxx,July 2020,"6,573km (22 Dec 2021)"
5,2017 Mahindra TUV300 T8 MANUAL,"695,099",Non-Accidental,"19,065 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-7C-Q-x-xxxx,October 2017,"19,065km (03 Jan 2022)"
6,2013 Maruti Swift VDI MANUAL,"333,799",Non-Accidental,"67,670 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,HR-29-A-x-xxxx,March 2013,"67,670km (15 Dec 2021)"
7,2017 Maruti IGNIS DELTA 1.2 K12  MANUAL,"384,499",Non-Accidental,"38,691 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,HR-51-B-x-xxxx,March 2017,"38,691km (08 Oct 2021)"
8,2017 Mahindra TUV300 T8 MANUAL,"691,099",Non-Accidental,"37,328 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,UP-14-D-x-xxxx,October 2017,"37,328km (28 Dec 2021)"
9,2014 Toyota Innova 2.5 VX 8 STR BS IV MANUAL,"1,097,199",Non-Accidental,"82,096 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,HR-55-U-x-xxxx,October 2014,"82,096km (18 Jan 2022)"
10,2012 Volkswagen Polo HIGHLINE1.2L PETROL MANUAL,"371,099",Non-Accidental,"126,101 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,DL-3C-B-x-xxxx,November 2012,"126,101km (15 Dec 2021)"
11,2014 Audi Q3 2.0 TDI MT S EDITION MANUAL,"1,383,199",Non-Accidental,"66,027 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-1C-Q-x-xxxx,January 2014,"66,027km (22 Dec 2021)"
12,2012 Volvo S60 SUMMUM D5 AUTOMATIC,"940,799",Non-Accidental,"41,361 km",AUTOMATIC,Valid upto Jan 20233rd Party,2nd Owner,Diesel,DL-1C-P-x-xxxx,December 2012,"41,361km (20 Jan 1970)"
13,2013 Maruti Ritz VDI  MANUAL,"254,199",Non-Accidental,"55,000 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-8C-W-x-xxxx,September 2013,"55,000km (30 Oct 2021)"
14,2015 Maruti Swift VDI ABS MANUAL,"407,499",Non-Accidental,"37,925 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,HR-10-Y-x-xxxx,February 2015,"37,925km (10 Jan 2022)"
15,2014 Ssangyong Rexton RX 6 MANUAL,"688,699",Non-Accidental,"45,187 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,UP-16-B-x-xxxx,September 2014,"45,187km (19 Jan 2022)"
16,2018 Honda City V MT DIESEL MANUAL,"843,899",Non-Accidental,"43,730 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,PB-26-G-x-xxxx,January 2018,"43,730km (27 Dec 2021)"
