,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
0,2012 Volkswagen Polo HIGHLINE1.2L DIESEL MANUAL,"258,399",Non-Accidental,"67,595 km",MANUAL,Valid upto Jul 2022Comp,2nd Owner,Diesel,MH-03-B-x-xxxx,July 2012,
1,2011 Honda City S MT PETROL MANUAL,"306,899",Non-Accidental,"101,973 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,MH-43-A-x-xxxx,February 2011,
2,2015 Maruti Ciaz ZDI+ SHVS MANUAL,"589,299",Non-Accidental,"125,499 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-03-C-x-xxxx,September 2015,
3,2012 Maruti SX4 ZDI  MANUAL,"359,699",Non-Accidental,"132,910 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-03-B-x-xxxx,March 2012,"132,910km (19 Jan 2022)"
4,2018 Volkswagen Vento COMFORTLINE PETROL MANUAL,"713,499",Non-Accidental,"23,139 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-R-x-xxxx,December 2018,"23,139km (14 Jan 2022)"
5,2015 Volkswagen Polo HIGHLINE1.2L PETROL MANUAL,"516,299",Non-Accidental,"63,908 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,MH-14-E-x-xxxx,April 2015,"63,908km (14 Jan 2022)"
6,2015 Volkswagen Jetta HIGHLINE TDI AT AUTOMATIC,"1,079,899",Non-Accidental,"96,877 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-12-M-x-xxxx,May 2015,"96,877km (15 Jan 2022)"
7,2014 Maruti Swift VXI MANUAL,"477,799",Non-Accidental,"28,600 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-48-S-x-xxxx,January 2014,"28,600km (19 Jan 2022)"
8,2017 Maruti IGNIS DELTA 1.2 K12  MANUAL,"518,799",Non-Accidental,"41,139 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-P-x-xxxx,March 2017,"41,139km (12 Oct 2021)"
9,2016 Volkswagen Polo GT TSI 1.2 PETROL AT AUTOMATIC,"646,299",Non-Accidental,"48,730 km",AUTOMATIC,Valid upto Jan 20233rd Party,2nd Owner,Petrol,MH-02-E-x-xxxx,November 2016,"48,730km (12 Jan 2022)"
10,2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE MANUAL,"821,099",Non-Accidental,"59,284 km",MANUAL,Valid upto Jul 2022Zero_Dep,1st Owner,Diesel,MH-46-A-x-xxxx,June 2016,"59,284km (18 Jan 2022)"
11,2015 Honda City VX CVT PETROL AUTOMATIC,"749,999",Non-Accidental,"37,476 km",AUTOMATIC,Valid upto Apr 2022Third Party,2nd Owner,Petrol,MH-27-B-x-xxxx,July 2015,"37,476km (12 Jan 2022)"
12,2014 Volkswagen Polo HIGHLINE1.2L PETROL MANUAL,"484,799",Non-Accidental,"67,087 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-K-x-xxxx,January 2014,"67,087km (19 Jan 2022)"
13,2016 Hyundai Tucson New 2WD AT GLS DIESEL AUTOMATIC,"1,465,799",Non-Accidental,"62,779 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-04-H-x-xxxx,October 2016,"62,779km (03 Jan 2022)"
14,2016 Maruti Ertiga ZDI PLUS SHVS MANUAL,"782,099",Non-Accidental,"65,293 km",MANUAL,Valid upto Jul 2022Third_party,1st Owner,Diesel,MH-04-H-x-xxxx,June 2016,"65,293km (13 Nov 2021)"
15,2014 Hyundai i10 MAGNA 1.1 IRDE2 MANUAL,"312,399",Non-Accidental,"13,068 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-02-D-x-xxxx,June 2014,"13,068km (02 Dec 2021)"
16,2016 Maruti Ertiga VDI SHVS MANUAL,"822,399",Non-Accidental,"33,931 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-48-A-x-xxxx,February 2016,"33,931km (11 Dec 2021)"
17,2017 Maruti Ertiga ZDI PLUS SHVS MANUAL,"868,099",Non-Accidental,"62,533 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Diesel,MH-28-A-x-xxxx,June 2017,"62,533km (30 Oct 2021)"
18,2014 Hyundai Xcent SX 1.2 MANUAL,"454,699",Non-Accidental,"30,363 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-04-G-x-xxxx,November 2014,"30,363km (12 Jan 2022)"
19,2017 Maruti Ertiga VDI SHVS MANUAL,"863,999",Non-Accidental,"79,817 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-05-D-x-xxxx,March 2017,"79,817km (15 Jan 2022)"
20,2018 Toyota YARIS G MT MANUAL,"774,599",Non-Accidental,"28,949 km",MANUAL,Valid upto Aug 2022Comp,1st Owner,Petrol,MH-02-E-x-xxxx,May 2018,"28,949km (11 Dec 2021)"
21,2017 Maruti Ertiga ZDI PLUS SHVS MANUAL,"938,499",Non-Accidental,"38,797 km",MANUAL,Valid upto Aug 2022Comp,1st Owner,Diesel,MH-14-G-x-xxxx,July 2017,"38,797km (08 Jan 2022)"
22,2017 Hyundai Tucson New 2WD AT GLS DIESEL AUTOMATIC,"1,642,699",Non-Accidental,"64,397 km",AUTOMATIC,Valid upto Sep 2022Zero_Dep,1st Owner,Diesel,MH-46-B-x-xxxx,April 2017,"64,397km (27 Dec 2021)"
23,2016 Hyundai Elite i20 MAGNA 1.2 MANUAL,"528,699",Non-Accidental,"117,299 km",MANUAL,Valid upto Aug 2022Zero_Dep,2nd Owner,Petrol,MH-12-N-x-xxxx,July 2016,"117,299km (18 Jan 2022)"
24,2016 Renault Kwid RXT MANUAL,"294,799",Non-Accidental,"23,390 km",MANUAL,Valid upto Jun 2022Comp,2nd Owner,Petrol,MH-02-E-x-xxxx,April 2016,"23,390km (03 Jan 2022)"
25,2016 Ford New Figo 1.2 TREND MANUAL,"416,099",Non-Accidental,"19,976 km",MANUAL,Valid upto Sep 2022Comp,2nd Owner,Petrol,MH-12-N-x-xxxx,August 2016,"19,976km (17 Jan 2022)"
26,2016 Hyundai i20 Active 1.2 S MANUAL,"559,799",Non-Accidental,"18,400 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,MH-03-C-x-xxxx,August 2016,"18,400km (31 Dec 2021)"
27,2013 Honda Amaze 1.5 VXMT I DTEC MANUAL,"425,099",Non-Accidental,"142,720 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,MH-03-B-x-xxxx,July 2013,"142,720km (17 Jan 2022)"
28,2016 Toyota Innova Crysta 2.8 ZX AT 7 STR AUTOMATIC,"1,554,499",Non-Accidental,"162,908 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-12-N-x-xxxx,October 2016,"162,908km (22 Dec 2021)"
29,2014 Ford Ecosport 1.5 TREND TDCI MANUAL,"533,599",Non-Accidental,"57,108 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-02-D-x-xxxx,May 2014,"57,108km (27 Dec 2021)"
30,2015 Hyundai Creta 1.6 SX CRDI MANUAL,"920,599",Non-Accidental,"72,365 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-43-A-x-xxxx,July 2015,"72,365km (30 Dec 2021)"
31,2017 Honda WR-V 1.2 i-VTEC VX MT MANUAL,"731,599",Non-Accidental,"69,674 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-11-C-x-xxxx,October 2017,"69,674km (12 Jan 2022)"
32,2015 Ford Figo Aspire 1.5 TREND DIESEL MANUAL,"469,199",Non-Accidental,"59,038 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-46-A-x-xxxx,September 2015,"59,038km (17 Jan 2022)"
33,2012 Maruti Ertiga VDI ABS MANUAL,"531,699",Non-Accidental,"242,900 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-01-B-x-xxxx,June 2012,"242,900km (30 Dec 2021)"
34,2017 Honda City V CVT MANUAL,"839,199",Non-Accidental,"43,777 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-N-x-xxxx,February 2017,"43,777km (14 Oct 2021)"
